Model,Average Error,RMSE
linear,8.0589,11.157299648
forest-1,10.1156,14.2380160457
forest-2,8.3422,11.0265942075
forest-3,8.67217,11.8098338698
forest-4,7.95459,10.6009401089
forest-5,8.43413,11.5074990508
forest-10,7.93761,10.7243887628
forest-20,7.82385,10.3277816299
forest-30,7.78483,10.3015680867
forest-40,7.6217,10.180210709
forest-50,7.52367,10.0291608223
forest-100,7.52084,10.0192786501
forest-200,7.48893,9.888874384
forest-300,7.56111,10.0577482512
