Model,Average Error,RMSE
linear,8.13356,10.7457136991
bayesian,8.12848,10.7407281712
mlp,16.251,19.9883159995
linSVR,24.3105,28.2469014654
adaboost,10.291,12.5042561878
bagging,7.62041,10.0849602285
extra,7.57362,10.0266817142
gradient,7.60268,10.077456362
elastic,8.15906,10.7927843946
lasso,8.15569,10.7964221117
