Artist,Title,Spotify ID
Calum Scott,Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ
ZAYN,PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1
Nause,Dynamite (feat. Pretty Sister),2Ae5awwKvQpTBKQHr1TYCg
Zara Larsson,Lush Life,1rIKgCH4H52lrvDcz50hS8
Zara Larsson,Ain't My Fault,0ADG9OgdVTL7fgREP75BrZ
Chance The Rapper,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH
Adele,Hello,4sPmO7WMQUAf45kwMOtONw
Flume,Never Be Like You,12REd1n8PeiHHWOh066tpr
The Chainsmokers,Roses,6O6M7pJLABmfBRoGZMu76Y
KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL
Galantis,No Money,0gb1J5UrTpzaU1s3nupgCd
Rihanna,Love On The Brain,2aksifNn5ph8igDOkPBA02
Maluma,Borro Cassette,6DUdDIRgLqCGq1DwkNWQTN
Young Thug,pick up the phone,20dP2DaMHIAmwWAbp7peSr
G-Eazy,Some Kind Of Drug,1Bqxj0aH5KewYHKUg1IdrF
Justin Bieber,What Do You Mean?,3pzjHKrQSvXGHQ98dx18HI
Shawn Mendes,Stitches,1WP1r7fuvRqZRnUaTi2I1Q
J. Cole,Neighbors,0utlOiJy2weVl9WTkcEWHy
Chino & Nacho,Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF
Wisin,Vacaciones,3dQDid3IUNhZy1OehIfYfE
Lil Uzi Vert,You Was Right,2ANLarE8yHVsLWW21nj79M
Sean Paul,No Lie,3cFsmM51N5zMAuu1nNY4Tw
Piso 21,Me Llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX
San Holo,Light,7zTx8ePYAmPFQuxP3xlXZn
State of Sound,Wake Up Where You Are,2s76aKBWKShlwPC4xTtEEE
The Weeknd,Reminder,37F0uwRSrdzkBiuj0D5UHI
Drake,Hotline Bling,2FBUoWkIuQXwayw2RNo5l6
Dante Klein,Let Me Hold You (Turn Me On),0lmdsH1MIoLsMymnNpd6HU
James Hersey,Miss You,7of1slAJIWrXxP8ikAHxje
Drake,Jumpman,27GmP9AWRs744SzKcpJsTZ
J. Cole,Immortal,6AGON2BGdPmPMJGiiNuuwl
Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
Rae Sremmurd,Swang,6mapJIPnQ23RTAevUoE0DL
The Weeknd,Rockin’,36YCdzT57us0LhDmCYtrNE
Anne-Marie,Alarm,0OwX5aROoW1Iip8FV51Efg
KREAM,Taped Up Heart (feat. Clara Mae),26hcyzSE154xMZCbFdtInA
The Weeknd,The Hills,25khomWgBVamSdKw7hzm3l
Kiiara,Gold,6WhzFzROw3aq3rPWjgYlxr
Little Mix,Touch,5Ua3GXyHwiSfpNTMjq6m2z
David Guetta,Would I Lie To You - Radio Edit,4PdJSsESm34djLfBde9Pr2
Maluma,Cuatro Babys,0JoHqmlqE0W0i9prt6kcHR
Tove Lo,Cool Girl,5dKyZWlgjWw1oJgLa4GCZD
James Bay,Let It Go,13HVjjWUZFaWilh2QUJKsP
Charly Black,Gyal You A Party Animal - Remix,1AkTW13ysu0AJrwuM6UY0I
MiC LOWRY,Oh Lord,1sTUEdVO85YU8Ymk2jeAls
Future,Low Life,7EiZI6JVHllARrX9PUvAdX
Joel Adams,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy
The Weeknd,Can't Feel My Face,6RsWqX8zABZLhZydXxEFOm
JP Cooper,September Song,0FuTx2s3YH1ppmtiM6l0zI
The Weeknd,Die For You,2LBqCSwhJGcFQeTHMVGwy3
Eminem,Lose Yourself - Soundtrack Version,5Z01UMMf7V1o0MzF86s6WJ
Coldplay,Hymn For The Weekend,3RiPr603aXAoi4GHyXx0uy
Marc E. Bassy,You & Me,4QdovcM8j50QPlyR7tH4xe
DVBBS,Not Going Home,042x9bsUBWW2fJgJ6fUh61
Flume,Say It (feat. Tove Lo),4sQMalN597HdggTu196aL0
J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8
Lady Gaga,Million Reasons,50PWlIBU7PlGGwzgN8TiFJ
The Weeknd,Secrets,3DX4Y0egvc0slLcLl31h2p
Future,Used to This,78sr3ogs4UzITcCNbXM9cM
Mura Masa,Love$ick,5v9N8Rx3QsFvr50cxyQcA3
Mark Ronson,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS
Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT
Queen,Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY
Farruko,Chillax,1lxswgIpzV6HhENRvkflES
Flo Rida,My House,6Knv6wdA0luoMUuuoYi2i1
Robin Schulz,Sugar (feat. Francesco Yates),5tf1VVWniHgryyumXyJM7w
The Weeknd,True Colors,6i759FCuKx713ZnYjtpQGU
Milky Chance,Cocoon,0L87MffumRNWrY2SNUFcvs
Coldplay,Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn
Nicky Jam,Hasta el Amanecer,5Fim1gaXBgsiFfsQAfQSDS
Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2
The Killers,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN
Kygo,Stay,2FiSTH0GYpIioUgjfzMIja
Post Malone,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w
Kanye West,Famous,19a3JfW8BQwqHWUMbcqSx8
John Legend,All of Me,2q6tgiA9tpb6DMguABwCWE
Maroon 5,Sugar,494OU6M7NOf4ICYb4zWCf5
Passenger,Let Her Go,2jyjhRf6DVbMPU5zxagN2h
J Balvin,Bobo,7AtlMCIauSQZqiXSlbBPW6
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3
Ed Sheeran,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT
Snakehips,Don't Leave,0Zx8khUcEfCFK2AEoIhC92
Ed Sheeran,The A Team,1VdZ0vKfR5jneCmWIUAMxK
Ed Sheeran,I See Fire,3B7udSGy2PfgoCniMSb523
Isaiah,It's Gotta Be You,6cAKeFFYW2aClZSUyvqAEW
Ed Sheeran,Don't,6gTJaPuj8DT8RjuDJyBgzP
Ed Sheeran,Tenerife Sea,6vSwxzO2Qf4BinHSXRwZJe
Flo Rida,Cake,6t2ubAB4iSYOuIpRAOGd4t
Ed Sheeran,Give Me Love,0SuG9kyzGRpDqrCWtgD6Lq
Big Sean,Moves,0Fv5N0cHBsl4bzCbollCAS
Chris Brown,Party,05Z7jet4VDNVgNQWcYHnrk
Eminem,'Till I Collapse,6yr8GiTHWvFfi4o6Q5ebdT
Jax Jones,You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY
The Chainsmokers,Paris,72jbDTw1piOOj770jWNeaG
Luis Fonsi,Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2
The xx,On Hold,5CPqOpKSk0QcJ3dGdaWcRB
The xx,Say Something Loving,728zbo72kOoYdGR3AhNsyF
Migos,T-Shirt,7KOlJ92bu51cltsD9KU5I7
A R I Z O N A,Oceans Away,6A8dnC0xkiuWN4BshmTB2I
The xx,Dangerous,33B2QbtAj8mbDpwvGTOnBt
Olivia Holt,History,0WCEaydwN65cvwaW8aqptF
Stanaj,Romantic - NOTD Remix,3SGWp9fJCzgK0WcpcKSQdy
Lauv,The Other,1lntL1cI2UIWlxjL5QiN8g
Tiësto,On My Way,4hiUYb2nb6NlfTP9CD38Pe
Julia Michaels,Issues,1sXUWdKx03aP9Gmzft58rt
Halsey,Not Afraid Anymore,1uoL9GX45dTnmrWQ7Ii1Ft
Don Omar,Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz
VÉRITÉ,Somebody Else,34i4yxPrHWquuR4kjiivFO
The xx,Lips,1onfcprzpSGh2LqrBh17AA
The xx,I Dare You,044qU7kwVZaDwzWnRsmVVL
Nicky Jam,El Amante,3umS4y3uQDkqekNjVpiRUs
John Mayer,Moving On and Getting Over,1crSsvtU9wZB15dIQXV2QH
Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",0LtVx5vsq9nfpGsWgjUin6
Gucci Mane,Both (feat. Drake),5tFep7dXGd7vEJ668wTPux
John Mayer,Love on the Weekend,0oiCeOPwm4zhwfyIpAE37y
PnB Rock,Selfish,2xbI8Vmyv3TkpTdywpPyNw
La La Land Cast,"Another Day Of Sun - From ""La La Land"" Soundtrack",0zCfmceT1YvtZXGbR6Roht
Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9
Sam Smith,Stay With Me,5Db9VIdDsN5yu3Eu7CT0i4
Hozier,Take Me To Church,0IqKeD8ZSP72KbGYyzEcAs
Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle
Martin Garrix,Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH
Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),0fg8CqpjdojMyXLNzM2PaJ
Zara Larsson,So Good,54LGxQGf5LPXNGjtzDZ5IE
Migos,Kelly Price (feat. Travis Scott),204U3zjm9kkzX25Pr4Rdld
Migos,Call Casting,0jOfl1nZf6sVBTG08Q4brn
Migos,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE
Migos,Get Right Witcha,76Y0gxtTxN0FyDCYh5qYQj
Anuel Aa,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65
Migos,Culture (feat. DJ Khaled),4oLuMvGQ4WJfU2s4OM6nfE
Migos,Brown Paper Bag,5wihevBA7MO9PNYyWyTfkh
Big Sean,No Favors,1MksGqIztTT6M9R1ErKVs8
Imagine Dragons,Believer,0CcQNd8CINkwQfe1RDtGV6
Big Sean,Halfway Off The Balcony,4atJ40xfasjdM9ZF3p07BV
Big Sean,Sacrifices,1r0faljjM2b876iNoaDUh5
Big Sean,Jump Out The Window,1jQsKN68yE94tMYml0wHMd
Big Sean,Owe Me,1u0MOgWF1bbylVxpJG2ZjB
Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO
Big Sean,Light,0URaKGzNTtzKRtsJN1RkA9
Big Sean,Voices In My Head/Stick To The Plan,2pzuU8vLaG8W1P31X65ZP9
Aaron Carter,Sooner Or Later,6wV12xIUb8oFY7lBy4KuQe
Daddy Yankee,La Rompe Corazones,4okba5wu9mMLXx79DXLKi3
Khalid,Location,152lZdxL1OR0ZMW6KquMif
Big Sean,Bigger Than Me,6zpXc7WJ3TqYWb02B6sKyF
Grey,I Miss You,1sl5tSzfK1JrcQIcA8rYDy
Katy Perry,Chained To The Rhythm,6520aj0B4FSKGVuKNsOCOi
Dua Lipa,Be The One,7FCfMXYTIiQ9b4hDYs4Iol
Nick Jonas,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",4nDfc6F2uVcc6wdG7kBzWO
XXXTENTACION,Look at Me!,2oUuLLKS8WbF7ELJcwbqms
Beyoncé,Halo,2CvOqDpQIMw69cCzWqr5yr
Rag'n'Bone Man,Skin,6y2Kaz9QI01XBKJ8mTb7Pf
Sia,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5fc6rQgAKiLutfUYWQ6QnJ
Axwell /\ Ingrosso,I Love You,11Fo4dAH31K7UZHGqCkCmE
Desiigner,Outlet,6E39QsoWB7JjphPF9xCQSN
Marian Hill,Down,2dqLk7ezV15LEJEwUmEbXB
Sabrina Carpenter,Thumbs,3UjJP4ludb74a29P5EHEIo
Chance The Rapper,Same Drugs,6m9qPYXmhge2QhBLfFKnVF
Thomas Gold,Magic,5abwHwUhywLGNli5NDcEN7
Oasis,Wonderwall - Remastered,5qqabIl2vWzo9ApSC317sa
Burak Yeter,Tuesday,7abpmGpF7PGep2rDU68GBR
Adele,When We Were Young,7IWkJwX9C0J7tHurTD7ViL
Kygo,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe
Maroon 5,Cold,5NNlUMcOEOdoOIwwaWXv0k
Ed Sheeran,How Would You Feel (Paean),6PJ8FF6UR8FZXfEvpHkIVN
Lana Del Rey,Love,0n2bvWvMwr0gbjcuTm92eW
Future,Mask Off,3rOSwuTsUlJp0Pu0MkN8r8
Future,Rent Money,4Zxdw0Hno7YDu0IzvY76Qo
Linkin Park,Heavy (feat. Kiiara),104buTcnP2AsxqB7U1FIZ4
Future,Draco,67dyMPOUsbZ9Yg06PnfAAh
Kodak Black,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4
The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Danny Ocean,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl
Bag Raiders,Shooting Stars,0UeYCHOETPfai02uskjJ3x
NAV,Some Way,7zxRMhXxJMQCeDDg0rKAVo
Joakim Lundell,All I Need,6vBgJ1SLmpB4VMcEVy1ovL
Future,Super Trapper,5e0RPsQUTQu0A29wqD6bZR
DJ Khaled,Shining,3OoZagIW3YK8vjt0ws6NOI
Calvin Harris,Slide,7tr2za8SQg2CI8EDgrdtNl
Zedd,Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g
Enrique Iglesias,SUBEME LA RADIO,7nKBxz47S9SD79N086fuhn
Future,Comin Out Strong,3mRcWCyteY2133a7xVMrYw
Future,Selfish,2Ce5IyMlVRVvN997ZJjJJA
Stormzy,Big For Your Boots,3uMB82o0qa7erhiZBW9KQC
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF
Ed Sheeran,Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],1KqvRRQd3lfM0pAlkGPrgD
Ed Sheeran,Shape of You - Stormzy Remix,2NHSYwGkAvPHzCinY0KwXo
MAX,Lights Down Low,1sYSP7gKa5kdKIfhANfori
Kaleo,Way Down We Go,0y1QJc3SJVPKJ1OvFmFqe6
Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB
Ed Sheeran,Dive,51ChrwmUPDJvedPQnIU8Ls
Ed Sheeran,New Man,5HDPtsnyb3maFmPL8LLUTG
Ed Sheeran,What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92
Ed Sheeran,Eraser,7oolFzHipTMg2nL7shhdz2
Ed Sheeran,Supermarket Flowers,4VuS959DSpr82t3qBqCrWG
Ed Sheeran,Barcelona,3Lfiu5sZ4M4B6JaKMBc0FU
Ed Sheeran,Hearts Don't Break Around Here,2dfHh7ECGxfNqZTQno09Vk
Ed Sheeran,Nancy Mulligan,35QZaWQRkmnAVqBF1TLCxQ
Lorde,Green Light,0gbBzIqrECJOEPvQJIBFs5
Ed Sheeran,Bibia Be Ye Ye,6SznMYPQJHzr3IwsAHLId2
Ed Sheeran,Save Myself,6TIU9Ehmi6dMzZK73Ym4yj
XXXTENTACION,Look At Me!,4ARPvK8DHLwt4oX65ZAFMw
Ayo & Teo,Rolex,0pSBuHjILhNEo55xK1zrRt
Coldplay,Hypnotised,5LXj9Ch3O9ATm1NoHT8GXn
Ariana Grande,Everyday,3FiE2d325mIOc4YjkSLVJR
J Balvin,Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8
Nicki Minaj,No Frauds,7KcGEssn7BnJdTgildK5y0
Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh
Lorde,Liability,0or0gNaKAXYYCsOrpvRzAu
Stargate,Waterfall,7pYFPMeK0TnaTGdS6qOtEr
Pitbull,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez
Sebastian Yatra,Alguien Robo,5i50gKdLAjjIr7UxRT5IVy
Ariana Grande,美女と野獣,1KT0xdIjm7t053xByACrrg
Astrid S,Breathe,4fhVodXZARPX0oTuQh8V9l
Chance The Rapper,All Night (feat. Knox Fortune),60xaS8mYBKUW4VQQ666N0T
Drake,Passionfruit,7hDc8b7IXETo14hHIHdnhd
Drake,Portland,2bjwRfXMk4uRgOD9IBYl9h
Drake,Free Smoke,05KOgYg8PGeJyyWBPi5ja8
Drake,Blem,2XlHu0HcujBCkWMdIAvrqt
Drake,Gyalchester,6UjfByV1lDLW0SOVQA4NAi
Drake,No Long Talk,6CfrYuD3YRDYdYvH9jNtXY
Drake,Get It Together,7y6c07pgjZvtHI9kuMVqk1
Drake,Madiba Riddim,76gUmNLXGQVOsGhfcshkFP
Drake,Sacrifices,0xl1w2q4VLojeXp4JfazPL
Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo
Drake,KMT,2jTujnt0y344ai1rNOywgr
Drake,Jorja Interlude,13e6f8t7RKXuxZ0JdaaJRG
Drake,4422,2fkeWbM6iqTw7oGHTYm2lw
Clean Bandit,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8
Drake,Skepta Interlude,2dfqS3MRtbLZSZA1IL8xY5
Drake,Glow,28irpKCCK9nn9DZSik2zEx
Drake,Can't Have Everything,5f5r2N4Lp9WoULWPH9zp2W
Drake,Nothings Into Somethings,6MbH1QiphMCPTqVEVC7UYi
Drake,Lose You,2Na0z2gfN67Rzf0vp74Wi3
Drake,Do Not Disturb,2KvHC9z14GSl4YpkNMX384
Drake,Ice Melts,7bJ4mu7MHa3rHiNyKjOoSl
Drake,Since Way Back,5JUu0unA8VwhTZ9LkMWUVI
Machine Gun Kelly,At My Best (feat. Hailee Steinfeld),77lGafvlU68CeHgB2pkHC9
Boef,Habiba,6G41AeVgQkpvEbTxN5fNkW
Zara Larsson,Only You,5SleX0NFeODNY7Xenal3gr
Kendrick Lamar,The Heart Part 4,1zayuwd1YLZsYDArkruHdL
ZAYN,Still Got Time,000xQL6tZNLJzIrtIgxqSl
Lil Uzi Vert,XO TOUR Llif3,2eMwDehkIC1j68U6FA3Eiq
Gorillaz,Saturnz Barz (feat. Popcaan),7l9CE3wmEGOUYw1j4ETjnL
David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),3vgNmjuRDnGLxUFGCLkwpm
