Artist ID,Artist Name,Popularity
3TVXtAsR1Inumwj472S9r4,Drake,99
246dkjvS1zLTtiykXe5h60,Post Malone,100
1URnnhqYAYcrqrcwql10ft,21 Savage,98
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,96
6LuN9FCkKOj5PcnpouEgny,Khalid,99
1RyvyyTE3xzB2ZywiAwp0i,Future,96
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,96
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,95
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,95
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,96
50co4Is1HCEo8bhOyUWKpn,Young Thug,96
6oMuImdp5ZcFhWP0ESe6mG,Migos,94
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,92
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,94
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,95
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,92
55Aa2cqylxrFIXC767Z865,Lil Wayne,93
2wY79sveU1sp5g7SokKOiI,Sam Smith,97
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,95
06HL4z0CvFAxyc27GXpf02,Taylor Swift,96
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,99
7dGJo4pcD2V6oG8kP0tJRR,Eminem,96
0VRj0yCOv2FXJNP47XQnx5,Quavo,94
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,92
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,96
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,97
17lzZA2AlOHwCwFALHttmp,2 Chainz,91
4xRYI6VqpkE3UwrDrAZL8L,Logic,92
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,90
3wyVrVrFCkukjdVIdirGVY,Lil Pump,91
7tYKF4w9nC0nq9CsPZTHyP,SZA,93
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,89
0c173mlxpT3dSFRgMO8XPh,Big Sean,92
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,91
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,98
02kJSzxNuaWGqwubyUba0Z,G-Eazy,90
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,94
04gDigrS5kc9YWfZHwBETP,Maroon 5,95
6icQOAFXDZKsumw3YXyusw,Lil Yachty,89
1z7b1Pr1rSlvWRzsW3HOrS,Russ,88
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,93
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,89
26VFTg2z8YR0cCuwLzESi2,Halsey,90
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,90
4kYSro6naA4h99UJvo89HB,Cardi B,89
2cFrymmkijnjDg9SS92EPM,blackbear,88
4q3ewBCX7sLwd24euuV69X,Bad Bunny,97
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,97
6vWDO969PvNqNYHIOW5v0m,Beyonc̩,93
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,92
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,87
1anyVhU62p31KFi8MEzkbf,Chance The Rapper,88
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,88
6vXTefBL93Dj5IqAWq6OTv,French Montana,92
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,94
6fOMl44jA4Sp5b9PpYCkzz,NF,89
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,89
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,91
64KEffDW9EtZ1y2vBYgq8T,Marshmello,93
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,93
7rkW85dBwwrJtlHRDkJDAC,NAV,86
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,86
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,86
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,86
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,84
21WS9wngs9AqFckK7yYJPM,PnB Rock,85
5ZS223C6JyBfXasXxrRqOk,Jhene Aiko,86
3Nrfpe0tUJi4K4DXYWgMUX,BTS,90
23fqKkggKUBHNkbKtXEls4,Kygo,93
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,90
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,92
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,86
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,94
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,91
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,83
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,85
5WUlDfRSoLAfcVSX1WnrxN,Sia,94
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,86
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,92
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,93
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,88
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,91
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,85
7CajNmpbOovFoOoasH2HaY,Calvin Harris,91
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,89
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,89
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,87
3KV3p5EY4AvKxOlhGHORLg,Jeremih,86
20sxb77xiYeusSH8cVdatc,Meek Mill,84
6LqNN22kT3074XbTVUrhzX,Kesha,87
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",84
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,83
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,88
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,91
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,93
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,89
360IAlyVv4PCEVjgyMZrxK,Miguel,85
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,84
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,89
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,88
163tK9Wjr9P9DmM0AVK7lm,Lorde,87
1KCSPY1glIKqW2TotWuXOR,P!nk,91
5cIc3SBFuBLVxJz58W2tU9,Oh Wonder,84
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,85
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,86
3nFkdlSjzX9mRTtwJOzDYB,JAY Z,86
329e4yvIujISKGKz1BZZbO,Farruko,92
0hEurMDQu99nJRq8pTxO14,John Mayer,86
23zg3TcAtWQy7J6upgbUnj,Usher,85
6jJ0s89eD6GaHleKKya26X,Katy Perry,91
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,85
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,93
5JZ7CnR6gTvEMKX4g70Amv,Lauv,89
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,87
5he5w2lnU9x7JFhnwcekXX,Skrillex,87
4IVAbR2w4JJNJDDRFP3E83,6LACK,83
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,87
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,83
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,89
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,87
3aQeKQSyrW4qWr35idm0cy,T-Pain,83
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,80
4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,86
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,81
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,87
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,88
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,82
