song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
6naxalmIoLFWR0siv8dnQQ,26dSoYclwsYLMAKD3tpOr4,211160,73,0,0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,4,0,1,1,83,12,3815,0.0,207.58639,0.788,1.0,0.562,0.333,82,332,664,10,754
4fixebDZAVToLbUCuEloa2,26dSoYclwsYLMAKD3tpOr4,224400,71,0,0.724,0.695,-5.226,0.0622,0.073,0,0.0889,0.235,139.0,4,1,11,1,83,15,6971,0.43542,220.57215,0.653,1.0,0.294,0.369,127,511,1022,11,915
2i9q8CteBmpslOJeQdMGqA,26dSoYclwsYLMAKD3tpOr4,213534,68,1,0.752,0.784,-4.941,0.0754,0.322,0,0.11,0.464,135.039,4,1,0,8,83,17,9836,0.0688,207.83601,0.859,1.0,0.465,0.331,119,470,940,9,848
7jk7gqyEonmVVYahZN5zhW,26dSoYclwsYLMAKD3tpOr4,192360,67,0,0.791,0.733,-5.215,0.052,0.147,0.000381,0.0713,0.761,114.98,4,0,6,2,83,15,6971,0.31814,185.46939,0.87,1.0,0.634,0.591,89,356,712,9,807
3KliPMvk1EvFZu9cvkj8p1,26dSoYclwsYLMAKD3tpOr4,247960,67,1,0.629,0.824,-6.53,0.159,0.155,0.000628,0.0651,0.852,128.01,4,1,9,2,83,14,8755,0.13991,243.15937,0.885,1.0,0.253,0.198,132,521,1042,12,1094
2krkoAg7wvttl6aJBFZhQy,26dSoYclwsYLMAKD3tpOr4,255400,49,0,0.668,0.843,-3.766,0.0268,0.169,0,0.195,0.702,147.083,4,1,0,1,83,16,3994,0.23224,248.00073,0.74,1.0,0.395,0.254,155,617,1234,13,925
6ic8OlLUNEATToEFU3xmaH,26dSoYclwsYLMAKD3tpOr4,251240,66,0,0.788,0.844,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,4,1,2,1,83,15,6530,0.68503,241.6907,0.92,1.0,0.334,0.318,118,471,942,12,1033
2EvwLVrnYbCZEG6Kx5DCRy,26dSoYclwsYLMAKD3tpOr4,212106,64,0,0.769,0.638,-5.054,0.216,0.0902,0,0.0857,0.782,115.007,4,1,11,2,83,15,6530,0.31687,209.67039,0.568,1.0,0.554,0.867,99,402,804,9,845
67LLUaEv5HEq1UTaGmZoGe,1Ya3U2XGZpIyzoqfdFwShy,230200,19,0,0.388,0.879,-5.486,0.0338,0.000646,0,0.109,0.255,157.996,4,1,2,3,29,10,7862,3.51782,214.46531,0.404,0.987,0.628,0.458,149,594,1188,12,733
2TEBF6UStzdzfQ8E04v7Fe,1Ya3U2XGZpIyzoqfdFwShy,243373,19,0,0.517,0.749,-5.524,0.0275,0.00166,0.000184,0.259,0.479,120.008,4,1,7,8,29,11,7594,0.18508,232.93678,0.623,0.933,0.767,0.702,119,480,960,13,844
7AlNF4uxjigBr6DaUg405d,1Ya3U2XGZpIyzoqfdFwShy,261040,15,0,0.501,0.711,-5.598,0.0271,0.0326,0,0.148,0.45,90.015,4,1,9,7,29,11,8426,0.18467,247.42603,0.421,0.841,0.739,0.518,95,384,768,10,776
