spotify:artist:3TVXtAsR1Inumwj472S9r4,99
spotify:artist:246dkjvS1zLTtiykXe5h60,100
spotify:artist:1URnnhqYAYcrqrcwql10ft,98
spotify:artist:4O15NlyKLIASxsJ0PrXPfz,96
spotify:artist:6LuN9FCkKOj5PcnpouEgny,99
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,96
spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,96
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,95
spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,95
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,96
spotify:artist:50co4Is1HCEo8bhOyUWKpn,96
spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,94
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,95
spotify:artist:46SHBwWsqBkxI7EeeBEQG7,92
spotify:artist:15UsOTVnJzReFVN1VCnxy4,94
spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,95
spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,92
spotify:artist:55Aa2cqylxrFIXC767Z865,93
spotify:artist:2wY79sveU1sp5g7SokKOiI,97
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,95
spotify:artist:06HL4z0CvFAxyc27GXpf02,96
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,93
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,99
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,96
spotify:artist:0VRj0yCOv2FXJNP47XQnx5,94
spotify:artist:13ubrt8QOOCPljQ2FL1Kca,92
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,96
spotify:artist:1uNFoZAHBGtllmzznpCI3s,97
spotify:artist:17lzZA2AlOHwCwFALHttmp,91
spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,92
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,90
spotify:artist:3wyVrVrFCkukjdVIdirGVY,91
spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,93
spotify:artist:31W5EY0aAly4Qieq6OFu6I,89
spotify:artist:0c173mlxpT3dSFRgMO8XPh,92
spotify:artist:137W8MRPWKqSmrBGDBFSop,91
spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,98
spotify:artist:02kJSzxNuaWGqwubyUba0Z,90
spotify:artist:53XhwfbYqKCa1cC15pYq2q,94
