Model,Average Error,RMSE
linear,7.23761,9.98203782388
forest-1,9.93003,13.675896312
forest-2,8.00188,11.0929899848
forest-3,7.55149,10.0313019244
forest-4,7.54669,10.2200863415
forest-5,7.2722,9.76824723944
forest-10,6.92964,9.50229598055
forest-20,6.77399,9.28194941287
forest-30,6.55039,8.97102580663
forest-40,6.59192,9.07935846122
forest-50,6.6106,9.00190503549
forest-100,6.56533,8.97987954703
