song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
0B8drtTSp68pZdkmVrG9ZA,2Xu7q46Hf02xOoEIm4E1Qs,228173,59,1,0.633,0.764,-7.212,0.323,0.32,3.4e-06,0.234,0.522,94.971,4,1,0,17,66,24,3553,2.6761,218.21533,0.803,1.0,0.582,0.761,90,361,722,8,1118

14Ai4sTxWbQpNymhpQKuES,2Xu7q46Hf02xOoEIm4E1Qs,254866,52,1,0.724,0.887,-7.076,0.393,0.134,0,0.112,0.745,90.945,4,1,6,10,66,24,3553,0.0,252.57506,0.477,1.0,0.338,0.363,97,386,772,9,1214

0fpVsdhxofrLCZL1CWETxa,2Xu7q46Hf02xOoEIm4E1Qs,195106,51,1,0.623,0.894,-4.914,0.3,0.309,2e-05,0.358,0.234,92.054,4,1,5,2,66,24,3553,0.0,191.27438,0.166,1.0,0.087,0.071,74,299,598,6,883

5NQdweL8O7nGdM7e4IS1lf,2Xu7q46Hf02xOoEIm4E1Qs,172933,47,1,0.9,0.593,-6.629,0.333,0.0554,0,0.0304,0.633,92.946,4,0,10,4,66,16,3741,0.07442,165.3493,0.323,1.0,0.047,0.035,67,268,535,9,682

06kMGyiybLptwh9hkmhsV5,2Xu7q46Hf02xOoEIm4E1Qs,254866,43,1,0.693,0.548,-7.234,0.3,0.0874,1.78e-05,0.119,0.279,87.828,4,0,1,8,66,24,3553,0.0,246.85134,0.493,0.876,0.853,0.801,93,372,744,13,1165

5b0u5DYa72GGm2K3MKmPB4,2Xu7q46Hf02xOoEIm4E1Qs,221626,34,1,0.706,0.74,-4.214,0.242,0.00593,0.00286,0.358,0.547,94.77,4,1,0,14,66,22,2920,0.22485,209.34531,0.91,1.0,0.286,0.091,87,348,696,8,996

1JqyY1N64SmuGES3xcijPD,2Xu7q46Hf02xOoEIm4E1Qs,282826,42,1,0.511,0.763,-4.844,0.467,0.133,0,0.182,0.603,186.702,4,1,7,13,66,24,3553,0.07519,282.82666,0.081,0.988,0.331,0.547,222,878,1756,13,1381

3z0oGegdilNokKYPXjLrqo,2Xu7q46Hf02xOoEIm4E1Qs,208226,41,1,0.771,0.857,-5.816,0.394,0.0958,2.06e-05,0.0576,0.714,90.546,4,0,6,3,66,24,3553,2.83864,203.26168,0.747,1.0,0.286,0.062,78,313,626,11,1033

6xeB09UZ7cnexyMkYdGlMS,2Xu7q46Hf02xOoEIm4E1Qs,231800,38,1,0.807,0.769,-3.644,0.269,0.0664,0,0.0618,0.705,99.664,4,0,7,10,66,16,3741,0.0,222.49361,0.424,1.0,0.519,0.64,95,381,762,12,1100

1aDLUzCyYpRXgrjwUWzV2X,6qyi8X6MdP1lu6B1K6yh3h,354360,58,0,0.633,0.831,-5.053,0.0461,0.0401,0.693,0.117,0.243,127.397,4,1,4,7,65,11,6075,0.0,348.04971,0.929,0.927,0.408,0.321,187,748,1496,16,1302

597i9UhHbW8hHgBUp8Tm54,6qyi8X6MdP1lu6B1K6yh3h,343906,55,0,0.163,0.885,-4.623,0.0725,0.000202,0.0121,0.228,0.549,198.556,3,0,5,5,65,10,7069,0.60063,335.22068,0.111,1.0,0.783,0.576,307,919,1838,12,1175

127qrKbnyZCYnn158P80op,6qyi8X6MdP1lu6B1K6yh3h,229013,54,0,0.693,0.582,-7.398,0.032,0.0665,0.0164,0.367,0.433,127.976,4,1,6,6,65,10,9420,2.58902,219.42277,0.795,1.0,0.862,0.418,119,479,958,12,719

7KBGSSpk34PRiBjM10YWwF,6qyi8X6MdP1lu6B1K6yh3h,290560,53,0,0.598,0.669,-7.691,0.0281,0.241,0.428,0.131,0.297,117.274,4,0,1,1,65,7,5711,0.36893,282.04118,0.76,0.501,0.396,0.163,140,560,1120,11,1022

2gvasLGz1T93mGbCITgl23,6qyi8X6MdP1lu6B1K6yh3h,292293,50,0,0.603,0.864,-5.623,0.0392,0.103,0.646,0.117,0.4,125.967,4,0,11,5,65,10,9420,0.17569,274.72689,0.795,0.997,0.612,0.51,147,594,1188,13,974

7N0p8fqIkwVpTTXSV3V19e,6qyi8X6MdP1lu6B1K6yh3h,340533,49,0,0.556,0.67,-8.042,0.0354,0.0342,0.0214,0.376,0.386,146.467,4,0,11,10,65,11,6075,0.0,330.29224,0.817,0.883,0.477,0.13,208,830,1660,7,1211

6SxnzAMCqSGCl2olRZuMK4,6qyi8X6MdP1lu6B1K6yh3h,281360,48,0,0.609,0.754,-7.438,0.0322,0.002,0.0154,0.0936,0.461,126.002,4,1,1,8,65,11,8188,0.16844,273.42658,0.839,0.991,0.366,0.374,145,576,1152,14,1135

2cqQQB5Ft23FFrpKTnXeZv,6qyi8X6MdP1lu6B1K6yh3h,287240,47,0,0.491,0.864,-5.695,0.0491,0.000755,8.39e-05,0.253,0.345,144.046,4,0,2,2,65,10,7069,0.0,281.46068,0.724,0.997,0.616,0.506,169,677,1354,12,993

3C2EhUirtzZjhirAxRSA0P,6qyi8X6MdP1lu6B1K6yh3h,221466,47,0,0.473,0.908,-5.581,0.0434,0.0132,0.168,0.271,0.678,76.505,4,0,3,8,65,10,9420,3.05923,214.79039,0.08,0.934,0.381,0.494,67,274,548,9,840

1ZqLkiXJqLekCP1oIMOQP7,6qyi8X6MdP1lu6B1K6yh3h,281333,42,0,0.497,0.859,-5.575,0.0496,4.92e-05,0.00879,0.105,0.684,139.967,4,1,2,8,65,10,7069,0.0,278.23311,0.825,0.946,0.461,0.403,163,651,1302,9,945

6m0Gi2mFZwIuOINUDEc4K2,0ZmLQD0JMILG9pXpHLTfaw,253391,28,0,0.756,0.779,-7.58,0.0825,0.122,0,0.129,0.781,94.028,4,0,9,2,39,8,9569,6.64671,249.98603,0.412,1.0,0.139,0.0,99,392,784,10,1097

2JY0J42subUumt8p0szXUg,0ZmLQD0JMILG9pXpHLTfaw,257533,18,0,0.902,0.762,-7.336,0.147,0.105,0,0.0994,0.82,95.001,4,1,7,13,39,15,7780,0.09832,252.1571,0.708,1.0,0.577,0.6,100,401,802,8,1156

6yiblhecO0XkB9594jZD46,0ZmLQD0JMILG9pXpHLTfaw,167137,6,0,0.656,0.652,-8.258,0.259,0.02,0,0.34,0.861,165.726,4,1,9,8,39,8,9569,0.2205,163.68907,0.31,1.0,0.357,0.564,114,456,912,8,774

2TFLP13ssmwUrVGfQR1wsJ,0ZmLQD0JMILG9pXpHLTfaw,174312,6,0,0.806,0.756,-9.157,0.058,0.408,6.8e-06,0.091,0.936,106.969,4,1,7,4,39,8,9569,0.58054,171.0556,1.0,1.0,0.551,0.654,76,304,608,10,837

1NKb0BOOttp8nNfPd1qjEw,0ZmLQD0JMILG9pXpHLTfaw,79412,5,0,0.739,0.463,-11.147,0.15,0.443,0.86,0.222,0.76,145.302,4,0,2,1,39,8,9569,0.2385,73.7698,0.504,0.784,0.706,0.315,47,190,380,3,342

0VbRGLdRFbdx0nl8zcmh0C,0ZmLQD0JMILG9pXpHLTfaw,176471,4,0,0.8,0.792,-8.164,0.0815,0.502,0.000153,0.128,0.877,107.992,4,0,4,7,39,8,9569,0.59202,173.42404,0.912,1.0,0.095,0.243,78,314,628,9,828

30qy8jMrIsNneYaFFkTcEV,0ZmLQD0JMILG9pXpHLTfaw,194583,4,0,0.754,0.825,-7.139,0.0846,0.101,0,0.0737,0.737,92.007,4,1,0,3,39,8,9569,0.54481,191.96517,0.0,1.0,0.273,0.059,74,298,596,7,817

68awufO7JsrBwaOdOE0Zhw,0ZmLQD0JMILG9pXpHLTfaw,287434,4,0,0.501,0.64,-7.162,0.169,0.298,0,0.0974,0.615,79.07,4,1,1,6,39,8,9569,0.62086,277.57134,0.103,0.914,0.774,0.864,94,377,754,13,1137

4zwA3xgU29NlgYXtunWvfN,0ZmLQD0JMILG9pXpHLTfaw,245713,3,0,0.525,0.815,-6.721,0.084,0.104,0,0.361,0.347,101.861,4,1,2,5,39,8,9569,0.55129,241.83583,0.376,0.915,0.652,0.741,104,413,826,11,1003

6SI4JD7iyQ0rrudhCNtMv0,2yQf6b8hxahZaT5dHlWaB1,253226,57,0,0.683,0.902,-7.389,0.291,0.219,0.000761,0.226,0.724,90.447,4,0,1,15,68,18,1825,0.47238,244.99955,0.776,0.872,0.536,0.688,95,380,760,15,1231

51oVwsllGkGySCLW6inIXE,2yQf6b8hxahZaT5dHlWaB1,275080,56,1,0.635,0.66,-4.847,0.357,0.0417,0,0.351,0.193,82.16,4,1,7,5,68,12,8061,0.0,275.07999,0.161,0.929,0.475,0.411,93,372,744,12,1204

6eAIynPK19mHRypXB26o6X,2yQf6b8hxahZaT5dHlWaB1,262973,51,0,0.873,0.728,-7.543,0.313,0.266,0,0.208,0.809,100.059,4,1,5,7,68,18,1825,0.1712,258.14785,0.233,0.988,0.441,0.683,109,437,874,9,1136

1MHtFj66arQ3vD4ZNK1RYy,2yQf6b8hxahZaT5dHlWaB1,227106,48,0,0.712,0.726,-6.086,0.182,0.0168,0,0.0869,0.464,97.041,4,0,2,4,68,18,1825,0.12739,219.77687,0.68,1.0,0.325,0.356,90,367,734,10,947

2Ik0sIJPSV8aau7fDS9jJv,2yQf6b8hxahZaT5dHlWaB1,296533,47,1,0.52,0.849,-5.094,0.345,0.412,9.95e-06,0.385,0.563,77.924,4,0,3,17,68,18,1825,0.0,296.53333,0.212,0.9,0.117,0.199,97,386,772,9,1272

3SL3GG9Bs7m1s9aqhjCeIa,2yQf6b8hxahZaT5dHlWaB1,282666,44,0,0.884,0.807,-6.781,0.31,0.0607,0.00301,0.0949,0.357,92.972,4,0,9,5,68,18,1825,0.20313,274.47728,0.396,0.995,0.313,0.207,109,438,876,11,1237

2GjdI973iM4W4Pl7Tckcke,2yQf6b8hxahZaT5dHlWaB1,137253,38,1,0.731,0.701,-7.436,0.455,0.556,0,0.295,0.901,92.245,4,1,1,11,68,36,6308,0.0,137.25333,0.47,1.0,0.395,0.453,53,211,422,7,624

1kHPOtD1fo3kWOgcs0oisd,2yQf6b8hxahZaT5dHlWaB1,211840,43,0,0.814,0.663,-7.446,0.355,0.296,3.39e-06,0.16,0.52,93.014,4,1,1,12,68,18,1825,0.30177,211.84,0.365,1.0,0.483,0.602,80,328,656,8,940

6f9gbZYbAqHq2rK1ZjZruf,2yQf6b8hxahZaT5dHlWaB1,243093,41,0,0.849,0.492,-8.659,0.517,0.00322,0.0105,0.656,0.703,91.297,4,1,6,2,68,18,1825,0.0,243.09334,0.341,0.995,0.276,0.098,92,369,738,7,1045

5Rmuy63dv4Av5gmi6kzaQn,6FD0unjzGQhX3b6eMccMJe,286653,32,0,0.757,0.725,-6.524,0.303,0.369,0.00139,0.431,0.707,103.014,4,1,8,50,68,50,8596,0.16254,286.65332,0.159,0.878,0.512,0.84,122,492,984,10,1241

7b4yGtR0rujvLi5EBfKKJ2,4Tw2N3wdvJPGEU7JqMxFfE,211160,57,0,0.608,0.768,-9.911,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,4,1,1,1,66,10,-1145,0.37755,199.51166,0.862,1.0,0.264,0.0,115,462,924,10,754

22CIOfLZB9z8He7WgHYAgH,4Tw2N3wdvJPGEU7JqMxFfE,237093,61,0,0.623,0.68,-13.255,0.0282,0.0056,0.000425,0.148,0.737,129.713,4,1,2,1,66,10,-4745,0.0,229.24481,0.894,1.0,0.836,0.87,125,508,1016,11,890

6mJQe0vTIojlxwyMwwy6YR,4Tw2N3wdvJPGEU7JqMxFfE,188533,59,0,0.486,0.83,-10.815,0.037,0.0104,0.000475,0.0635,0.652,151.869,4,1,3,3,66,11,-2555,0.06966,176.88381,0.918,1.0,0.656,0.679,118,472,944,10,675

5ZYvcJ04ccUw2Matbnmu0U,4Tw2N3wdvJPGEU7JqMxFfE,210826,56,0,0.642,0.641,-12.444,0.049,0.154,1.23e-06,0.0475,0.85,120.316,4,1,2,6,66,10,-4745,0.0,208.27719,0.786,1.0,0.214,0.424,104,420,840,9,811

1PUwqWUz1Zz345y1s9YRv1,4Tw2N3wdvJPGEU7JqMxFfE,187800,45,0,0.614,0.789,-10.241,0.0342,0.0342,0.00132,0.114,0.899,113.701,4,1,9,1,66,11,-2555,0.0,176.30912,0.862,0.988,0.424,0.397,87,351,702,8,689

0LKH8nMS8WFISQRo5RXGcq,4Tw2N3wdvJPGEU7JqMxFfE,217706,36,0,0.506,0.667,-11.149,0.037,0.035,6.22e-05,0.11,0.856,90.503,4,1,2,4,66,10,-4380,0.0,212.10268,0.239,1.0,0.841,1.0,81,323,646,7,781

70PGLsqrzgRAp19n6sTvOM,4Tw2N3wdvJPGEU7JqMxFfE,161932,47,0,0.619,0.6,-7.222,0.0274,0.301,0,0.141,0.703,124.97,4,0,9,1,66,12,5907,0.10735,154.999,0.828,1.0,0.287,0.383,83,335,670,11,520

7ibhmgDv9lrwzCZBUCzBxL,4Tw2N3wdvJPGEU7JqMxFfE,230240,46,0,0.586,0.667,-11.31,0.0271,0.141,6.59e-06,0.0437,0.656,114.201,4,1,4,4,66,11,-2555,0.06444,216.23002,0.742,0.727,0.545,0.577,109,434,868,11,770

0gqy8H7byrHRhBVtKkMVKy,4Tw2N3wdvJPGEU7JqMxFfE,235493,46,0,0.61,0.734,-9.862,0.034,0.237,6.02e-05,0.0489,0.701,111.698,4,1,10,3,66,10,-1145,0.19737,223.34694,0.871,1.0,0.424,0.827,109,435,870,12,757

0ZpGmEiOvhCTqwFSB1vdo1,4Tw2N3wdvJPGEU7JqMxFfE,213693,44,0,0.593,0.707,-11.098,0.0347,0.00147,0.0058,0.081,0.651,120.629,4,1,0,2,66,11,-2555,0.08685,202.2342,0.854,0.888,0.742,0.91,106,426,852,13,803

4zDMybUdMSewKNxmGffD7v,2YOYua8FpudSEiB9s88IgQ,123000,62,1,0.859,0.67,-6.762,0.271,0.203,3.46e-05,0.217,0.446,96.056,3,1,1,1,70,5,10166,0.0,120.558,0.792,0.267,0.617,0.948,64,197,393,5,599

0ObPdjFZ3cBr61rUusvkto,2YOYua8FpudSEiB9s88IgQ,134431,55,1,0.798,0.624,-8.789,0.161,0.123,9.08e-06,0.184,0.199,100.027,4,0,11,1,70,1,10036,0.0,131.10567,0.202,1.0,0.088,0.172,56,224,448,6,577

069xOXmb7oa81j9ARhq88Z,2YOYua8FpudSEiB9s88IgQ,137400,54,1,0.772,0.552,-8.695,0.263,0.145,0.0029,0.179,0.286,99.936,4,0,11,2,70,5,10166,0.0,133.75274,0.418,0.954,0.503,0.524,56,227,454,8,607

2DEZ9PTkEkAoJSOaz6B2SI,2YOYua8FpudSEiB9s88IgQ,227990,50,1,0.837,0.553,-9.0,0.267,0.087,0,0.123,0.298,135.027,4,0,10,3,70,5,10166,0.0,210.90685,0.435,1.0,0.445,0.442,128,510,1020,11,920

1WBvCwgsho7VHVFjntJxRi,2YOYua8FpudSEiB9s88IgQ,172614,49,1,0.77,0.531,-8.957,0.226,0.0294,0.000114,0.103,0.486,144.529,4,0,6,1,70,1,10063,0.0,172.61411,0.722,0.713,0.714,0.863,103,416,832,11,786

5YOoPykalMFlw8ye3qybvX,41X1TR6hrK8Q2ZCpp2EqCz,185806,46,1,0.713,0.468,-9.589,0.332,0.188,6.17e-06,0.207,0.375,77.529,4,0,10,1,61,1,10139,0.0,181.24916,0.094,0.685,0.28,0.07,59,239,478,8,849

