song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
7tzfTuRUMs0dR91YGWKXwZ,1Z3fF5lZdCM0ZHugkGoH8s,492040,0,0,0.388,0.00163,-43.334,0.0804,0.0556,0.175,0.0698,0.0861,137.649,1,1,1,2,44,7,8985,1.55855,448.09288,0.04,0.205,0.561,0.687,210,825,1650,21,710
2LGlmFa9IQPGa28WdxhaiD,7ie36YytMoKtPiL7tUvmoE,306493,0,0,0.484,0.0804,-24.135,0.207,0.974,0.0053,0.407,0.325,119.015,4,0,2,1,57,8,8985,4.76009,306.49335,0.079,0.563,0.471,0.408,178,701,1402,13,1146
1QfuT0trMURcp5fgNcq0Hh,1Z3fF5lZdCM0ZHugkGoH8s,494013,0,0,0.442,0.00101,-36.13,0.278,0.058,0.447,0.0415,0.134,118.924,5,1,1,6,44,7,8985,1.37002,475.49243,0.009,0.025,0.663,0.877,216,858,1716,25,525
4pnQT8mFyNqEZms8nU4kJi,7ie36YytMoKtPiL7tUvmoE,332933,0,0,0.492,0.19,-21.014,0.109,0.954,2.15e-05,0.696,0.353,122.264,4,1,5,2,57,8,8985,0.0,332.93332,0.472,0.882,0.154,0.083,170,677,1354,14,1273
2FEfl7nIDPkVNc4GiTqWGj,2VgF14fgToqgTTz8YVLwV2,785880,0,0,0.291,0.123,-27.246,0.0376,0.968,0.848,0.126,0.0498,73.692,4,1,2,1,31,4,-356939,32.39184,775.37814,0.078,0.745,0.398,0.494,285,1134,2268,35,2371
7fezkLNTs7KdKzL8OJJ0fK,5bHjVR4F2Tfq4Ha6x7K6wU,265560,44,0,0.454,0.233,-19.064,0.0367,0.898,0.81,0.0965,0.0986,173.48,4,1,11,3,67,10,6308,0.32218,253.08009,0.518,0.993,1.0,1.0,190,755,1510,13,764
7ogPk9PSUggLEcqe87gcwa,5bHjVR4F2Tfq4Ha6x7K6wU,223826,43,0,0.81,0.0851,-18.0,0.0744,0.848,0.135,0.0884,0.651,158.107,4,0,5,1,67,12,9639,3.05923,218.84807,0.639,1.0,0.551,0.331,143,576,1152,6,652
2OWOkkAQv7KFlScZymrfZ4,5bHjVR4F2Tfq4Ha6x7K6wU,274280,43,0,0.447,0.0299,-25.007,0.0367,0.982,0.841,0.0736,0.186,70.893,4,0,0,1,67,12,7104,8.34757,261.92689,0.018,0.495,0.353,0.298,77,313,626,13,747
5liJkMCT6YRIVfpaRF0wJY,5bHjVR4F2Tfq4Ha6x7K6wU,219560,43,0,0.629,0.0655,-15.797,0.0589,0.976,0.582,0.0942,0.326,75.008,4,0,3,2,67,13,6971,0.0,205.20635,0.138,0.924,0.554,0.691,67,269,538,9,578
5D1X3ERi3rW6iUufwTh1AZ,5bHjVR4F2Tfq4Ha6x7K6wU,241640,42,0,0.772,0.107,-15.364,0.0601,0.82,0.00293,0.0941,0.563,135.026,4,1,9,2,67,12,9639,0.66744,233.8946,0.917,1.0,0.583,0.305,134,532,1064,9,724
