Model,Average Error,RMSE
linear,8.25564,11.4089247179
forest-1,11.3331,15.2920007637
forest-2,9.76241,13.1672813766
forest-3,9.25418,12.4384103375
forest-4,8.83247,11.8529441272
forest-5,8.69214,11.7752162779
forest-10,8.31655,11.3089039023
forest-20,8.07811,11.0285587996
forest-30,7.97331,10.905698513
forest-40,7.94928,10.8694327803
forest-50,7.93679,10.8847667201
forest-100,7.87087,10.8045089566
forest-200,7.82808,10.7506388476
forest-300,7.8264,10.7569557822
